user_id,user_name,member_since
ur120923749,nadavsaar,2020-07
ur120966602,snoozejonc,2020-07
ur1214854,DJAkin,2001-06
ur122388782,packarduk,2020-07
ur123046819,gamingclipskh,2020-08
ur123158576,MrFilmAndTelevisionShow,2020-08
ur12327230,eric262003,2006-09
ur12337707,yuvrajhanspal,2006-09
ur1234929,gavin6942,2001-06
ur124101526,miladturin,2020-09
ur1241331,ks4,2001-06
ur12449122,littlemartinarocena,2006-10
ur124492400,jensenfrederick,2020-09
ur124767674,MNjets2021,2020-10
ur125146806,maka12,2020-10
ur125299839,georgecretuu1,2020-10
ur125342709,sivam-66902,2020-10
ur125367887,iamanoob0,2020-10
ur1255798,preposterous,2001-07
ur126180548,Kubrickfan15,2020-11
ur12680645,johnnymacbest,2006-10
ur127166859,devonwalden,2020-12
ur127789499,jackjhigson,2020-12
ur128281261,has1er,2021-01
ur128311340,mahmoudr-13451,2021-01
ur128366211,sjvkarki,2021-01
ur1285640,Si Cole,2001-07
ur128634296,redbullrex,2021-01
ur1293485,Smells_Like_Cheese,2001-08
ur129484005,lucasavs,2021-02
ur129557514,dseferaj,2021-02
ur129732545,ethlaid,2021-02
ur1299476,setanta-,2001-08
ur13017201,Vincentiu,2006-11
ur130721608,scgfckzb,2021-03
ur130825788,eqtron,2021-03
ur13134536,Michael_Elliott,2006-11
ur131499933,melwinbauer,2021-04
ur131783850,kevin_robbins,2021-04
ur1318549,uds3,2001-08
ur1328226,haniff,2001-08
ur133361230,Wistfull,2021-06
ur13374867,Dessitta,2006-12
ur134389925,kaushalkrushnakantraj,2021-07
ur13500945,allowallo_135,2006-12
ur135034922,zakcarroll-93753,2021-07
ur135059797,Xarx117,2021-07
ur13538926,Rectangular_businessman,2006-12
ur13566917,estebangonzalez10,2006-12
ur136256068,Greyrat2,2021-09
ur137694848,thomashaehre,2021-09
ur1378887,movibuf1962,2001-10
ur13846894,Mush_Man29,2007-01
ur13887584,gcd70,2007-01
ur139050410,saimaq-27868,2021-10
ur13977076,Tweekums,2007-01
ur14029890,KillerLord,2007-01
ur14069613,DaveDiggler,2007-02
ur14160944,Ibuk,2007-02
ur1416505,Boba_Fett1138,2001-10
ur14262019,RayCharles81,2007-02
ur1438772,Zoopansick,2001-11
ur14510819,rustyalex2,2007-03
ur146626396,Reel1120,2021-12
ur146758824,markharnden,2021-12
ur148218272,thomasgouldsbrough,2022-01
ur148287074,caitgabe,2022-01
ur148513022,anshulsingh-42733,2022-01
ur149041077,User145111,2022-01
ur149994743,ethanlavigne-55895,2022-02
ur151373166,marcelbenoitdeux,2022-03
ur15140057,ivo-cobra8,2007-04
ur151468528,wdwbqbsfw,2022-03
ur15148249,blairgallop7,2007-04
ur15148330,AlsExGal,2007-04
ur151845245,random753,2022-04
ur152720803,zanderliaw,2022-05
ur15311310,Sleepin_Dragon,2007-05
ur1531826,Movies8586,2002-01
ur1532177,Theo Robertson,2002-01
ur1536039,Matador07,2002-01
ur15449211,BeatlesFan3287,2007-05
ur155560904,Ser_jorah,2022-08
ur15562504,Red_Identity,2007-06
ur155722014,kingsholmen,2022-08
ur1560900,joseayarza,2002-01
ur156722457,darshansr-93257,2022-09
ur15724197,whystone2001,2007-06
ur15794099,gogoschka-1,2007-06
ur157975059,selenagw-64725,2022-10
ur1587568,eronavbj,2002-02
ur1603958,jaesboxer,2002-02
ur16117882,alexkolokotronis,2007-07
ur1615741,Marmaduke Grove,2002-02
ur16161013,hitchcockthelegend,2007-07
ur16445913,mamaramseys,2007-08
ur1653550,Science_Fantasy_Guy,2002-03
ur1657894,rebeljenn,2002-03
ur166203882,jiposek,2023-06
ur166203922,vawigo-56663,2023-06
ur166204143,hosodi-11867,2023-06
ur166204251,vogeli-14492,2023-06
ur16749093,nowego,2007-09
ur16832848,emperor_bender,2007-09
ur17109012,miscellaneous411,2007-10
ur172629989,judealexharnett,2023-11
ur1744070,SMLA11,2002-05
ur17447627,kysersoze-1,2007-11
ur17536277,foxtografo,2007-11
ur1761695,amesmonde,2002-05
ur17646017,g-bodyl,2007-12
ur17668398,maubejr,2007-12
ur17694700,sm-faiz,2007-12
ur17816293,SimonJack,2007-12
ur17822437,sme_no_densetsu,2007-12
ur17883730,nmn565,2007-12
ur1803589,leplatypus,2002-06
ur18619958,rajandey,2008-02
ur1869824,Freddy_Levit,2002-07
ur1886142,richard-mason,2002-08
ur1896124,utgard14,2002-08
ur18970655,Fella_shibby,2008-04
ur1898687,kaspen12,2002-08
ur1903880,NoArrow,2002-08
ur19117722,murtaza_mma,2008-04
ur19171828,shiny-metal-ass,2008-04
ur1941835,tomimt,2002-09
ur1955998,Pedro_H,2002-09
ur1964495,I_Ailurophile,2002-10
ur19720242,kyle-cruse,2008-08
ur1992439,shahmatt,2002-10
ur1994077,Mr-Fusion,2002-10
ur19997672,butchfilms,2008-10
ur20018357,CinemaClown,2008-10
ur2011184,Thelightbulb,2002-10
ur20552756,TheLittleSongbird,2009-01
ur2082018,paul2001sw-1,2002-12
ur2088633,jhmb2003,2002-12
ur2093818,TBJCSKCNRRQTreviews,2002-12
ur20961309,secondtake,2009-04
ur21364503,JeanRalphio,2009-06
ur2141641,aliciadipesto,2003-01
ur2159966,misha-wilkin,2003-01
ur21883459,tcmay-1,2009-08
ur22074254,colm-hearne365,2009-09
ur22167079,crendine,2009-09
ur22455874,domarulz,2009-11
ur22507470,brentn,2009-12
ur22668817,FlashCallahan,2010-01
ur22813956,jnelso19,2010-02
ur22826047,dworldeater,2010-02
ur22881716,Christian_Dimartino,2010-02
ur22995121,ashi-lance,2010-03
ur23055365,lesleyharris30,2010-03
ur23062619,joose90,2010-03
ur23169472,conyemenam,2010-04
ur23246639,danielaustin-735-484497,2010-05
ur23318905,Reviews_of_the_Dead,2010-05
ur2339662,FilmOtaku,2003-04
ur23430711,miguelpratas94,2010-06
ur2347325,irishm,2003-04
ur23585608,for_and,2010-07
ur23589178,AaronCapenBanner,2010-07
ur23619158,wwe7961,2010-07
ur23639929,meetnavpk,2010-08
ur23649028,Food_For_Thought,2010-08
ur23694302,nlytnd_1,2010-08
ur2371300,LennyRenquist,2003-04
ur2375356,slokes,2003-04
ur23772122,CinefanR,2010-08
ur2400652,eamon-hennedy,2003-05
ur2403537,callanvass,2003-05
ur24232720,compi24,2010-11
ur24364152,Al_The_Strange,2010-11
ur24373984,cardsrock,2010-11
ur2454747,jono1975,2003-06
ur2467618,planktonrules,2003-06
ur24725189,joshuavogel79,2011-01
ur24740649,CalRhys,2011-01
ur2483625,bkoganbing,2003-06
ur2488512,claudio_carvalho,2003-06
ur25094473,sundaram-sunil,2011-02
ur2510120,ivko,2003-06
ur2510939,diand_,2003-06
ur2521222,TheNorthernMonkee,2003-07
ur2525465,exusninja,2003-07
ur2542703,edwagreen,2003-07
ur25773166,matikolaei,2011-04
ur25775215,bombersflyup,2011-04
ur2590596,kenjha,2003-07
ur2590606,stregeria,2003-07
ur2592358,sausagebrigade,2003-07
ur25997566,michaelradny,2011-05
ur26226712,Jeremy_Urquhart,2011-05
ur26266323,drqshadow-reviews,2011-05
ur26465371,lagudafuad,2011-06
ur2650604,Laakbaar,2003-08
ur2672101,lianzantoro,2003-09
ur26756524,guyincognito1,2011-06
ur26820801,Pjtaylor-96-138044,2011-07
ur27175177,The-Sarkologist,2011-07
ur2747265,the-movie-guy,2003-10
ur27559314,carlwilkessob,2011-08
ur2775722,vito-corleone,2003-10
ur2786176,calebwilliams,2003-10
ur28145373,Rickting,2011-09
ur28159509,Hey_Sweden,2011-09
ur28221379,illbebackreviews,2011-09
ur2847437,slayerholmes,2003-11
ur2857277,qprmal,2003-11
ur2860723,grantss,2003-11
ur2862626,guerillagorilla,2003-11
ur2898520,SnoopyStyle,2003-12
ur29385135,Calicodreamin,2011-11
ur29409681,ellandanne,2011-11
ur2955724,JamesHitchcock,2003-12
ur3032357,gpeevers,2004-01
ur30440871,ben2104,2012-01
ur30457408,krazycrukids,2012-01
ur3051873,michelerealini,2004-01
ur3079504,dbborroughs,2004-02
ur31261952,Movie-ManDan,2012-02
ur31638149,hjpog,2012-02
ur3174947,mjw2305,2004-03
ur3225430,ebiros2,2004-03
ur3233848,marcin_kukuczka,2004-03
ur3257585,FrenchEddieFelson,2004-03
ur32600326,mchollandmatthew,2012-03
ur3270789,ma-cortes,2004-04
ur32740063,yarden-malka14,2012-03
ur32748045,Clockwork_Orange55,2012-03
ur32939276,jcbutthead86,2012-04
ur33148381,DiSTuRBeDx,2012-04
ur33197017,curtisbates9,2012-04
ur33293969,rdvnyrtsv,2012-04
ur33374263,LeonLouisRicci,2012-04
ur3338050,filmquestint,2004-04
ur3341647,OriginalMovieBuff21,2004-04
ur33697153,RossRivero99,2012-05
ur3387663,diac228,2004-04
ur33907744,Thanos_Alfie,2012-05
ur34049683,ironhorse_iv,2012-05
ur34290913,THE-BEACON-OF-MOVIES-RAFA,2012-06
ur3435249,Vampenguin,2004-05
ur34575093,MattBrady099,2012-06
ur3477378,kasparov,2004-05
ur34836174,UniqueParticle,2012-07
ur35000509,Stormchaser99,2012-07
ur35247235,troyputland,2012-07
ur3623568,GusF,2004-06
ur36357573,Uriah43,2012-09
ur3670492,view_and_review,2004-07
ur3728510,pyrocitor,2004-07
ur3741220,tomgillespie2002,2004-07
ur3789453,straightblaster,2004-08
ur3836774,Dr_Coulardeau,2004-08
ur3902771,thinker1691,2004-08
ur3920272,vjeet_a,2004-09
ur3924830,ReelCheese,2004-09
ur39322301,shaun_sat,2012-12
ur39472049,richcarter1962,2013-01
ur40191153,Marwan-Bob,2013-01
ur40351768,Joeybananas5,2013-01
ur4067661,DKosty123,2004-10
ur4070806,juho69,2004-10
ur4103165,Xstal,2004-10
ur41031967,RussHog,2013-02
ur4130201,tieman64,2004-10
ur4202340,SnorrSm1989,2004-11
ur4234119,ElMaruecan82,2004-11
ur4248714,jboothmillard,2004-11
ur42698144,sirwickmusic,2013-04
ur42905310,ElJimbooo,2013-04
ur4314460,brefane,2004-11
ur43544732,calspers,2013-05
ur4405474,851222,2004-12
ur4409266,Wuchakk,2004-12
ur4430249,youaredoingitwrong,2004-12
ur44428715,t-turnquest1,2013-06
ur4445210,ccthemovieman-1,2004-12
ur4465293,slightlymad22,2004-12
ur4478810,FilmFanInTheHouse,2004-12
ur44877439,jholman3081,2013-07
ur45048146,aziz-737-972827,2013-07
ur45113028,josephledbury,2013-07
ur45119290,sbrahman,2013-07
ur45124050,sunnynash1,2013-07
ur4532636,evanston_dad,2005-01
ur4536278,Engage_With_Zorp,2005-01
ur45390749,Amyth47,2013-07
ur45404387,winnantonio,2013-07
ur4569900,Prismark10,2005-01
ur4648178,nimstic,2005-01
ur46792012,davidburrows89,2013-09
ur46915265,Achyut_Prashast_Singh,2013-09
ur4720785,mbuchwal,2005-02
ur47239035,Tony-Kiss-Castillo,2013-10
ur47939660,EVON1TY,2013-11
ur48102834,GeorgeRoots,2013-11
ur48446144,djole-cerovic,2013-11
ur4883355,subodh-yadav,2005-02
ur4888011,lee_eisenberg,2005-03
ur49526876,Bonnell7,2014-01
ur4986911,DarthVoorhees,2005-03
ur51261713,hmael,2014-03
ur51677889,bhester0806,2014-03
ur5183897,creedrock2003,2005-04
ur52083925,martingega,2014-04
ur5237888,LoneWolfAndCub,2005-05
ur5273370,rkeaney,2005-05
ur53053227,filipemanuelneto,2014-05
ur53085101,AnkAgarwal,2014-05
ur5347756,mattrochman,2005-05
ur53531979,marco_mct,2014-06
ur5411269,SimonHeide,2005-05
ur54203621,yashrajs536,2014-07
ur54208209,izachzzz,2014-07
ur5424352,morrison-dylan-fan,2005-05
ur5445669,SJ_1,2005-05
ur5513934,Flagrant-Baronessa,2005-05
ur55868056,tomflinn123,2014-10
ur56005872,Bored_Dragon,2014-10
ur56007669,mrcarmack,2014-10
ur56060296,email-142-427029,2014-10
ur56121606,radicallegacy92,2014-10
ur56592504,tsakiridis1217,2014-11
ur56806423,emretamer03,2014-11
ur57538945,dexter-vane,2014-12
ur57772760,sullymazda,2015-01
ur5788055,briancham1994,2005-06
ur57910549,bellino-angelo2014,2015-01
ur58589487,kevjfarrell,2015-02
ur5876717,kosmasp,2005-06
ur58831700,battista880,2015-02
ur59262264,Wiizardii321,2015-03
ur59713910,rakshu-66770,2015-04
ur59841424,antoinepana,2015-04
ur60028700,anaconda-40658,2015-04
ur60377593,juddbean-22553,2015-05
ur61197531,Kirpianuscus,2015-06
ur61300252,bbabb13,2015-07
ur61644837,samwellcross,2015-07
ur61842717,yeahclowns,2015-08
ur61845426,ReviewBuff,2015-08
ur61859192,gab-14712,2015-08
ur6201371,cricketbat,2005-07
ur62045232,cuthwy,2015-08
ur6222226,SeminolePhenom,2005-07
ur62280069,joshuafagan-64214,2015-08
ur62395787,joshgst,2015-08
ur6244428,vegeta3986,2005-07
ur62946927,bhaskar-15781,2015-10
ur6321000,TheUnknown837-1,2005-07
ur64090871,jeancarloros,2015-12
ur64438597,colinsiterecruitment,2015-12
ur6458242,PWNYCNY,2005-07
ur64798417,Top_Dawg_Critic,2016-01
ur6574726,bmfj,2005-08
ur66111139,gbill-74877,2016-03
ur66517804,chadlund,2016-04
ur6657969,mocpacific,2005-08
ur67277038,muzahid-13629,2016-05
ur67430579,richardchatten,2016-05
ur67867780,danielgibbs-69210,2016-07
ur6879155,petarmatic,2005-08
ur68847093,victiminvesta,2016-09
ur69458085,maryolalov,2016-10
ur69822167,movie-lover7,2016-11
ur7022187,brendastern,2005-09
ur7040092,royals794,2005-09
ur70796789,wwwsohailhassan,2016-12
ur71305899,ThunderKing6,2017-01
ur7154267,The-Other-Monkey,2005-09
ur72164454,nathanmanson,2017-01
ur73175455,dbrougham-09647,2017-02
ur7343974,newfiesailor,2005-09
ur7475970,papadea1953,2005-10
ur7484735,JoshtheGiant,2005-10
ur75329026,ZeyuZhang_1229,2017-04
ur7533368,osnelgro,2005-10
ur7602045,jbartelone,2005-10
ur76062573,bevo-13678,2017-05
ur76781607,JosephD3193,2017-05
ur77212199,bretttaylor-04022,2017-06
ur77336439,WYLION-SOTIRISKING,2017-06
ur7813355,neil-476,2005-11
ur7826013,zkonedog,2005-11
ur80922659,dk777,2017-10
ur8121061,djhenebury-1,2005-11
ur8131454,Angelus2,2005-11
ur8164094,jusdafide,2005-11
ur8221156,oneblip,2005-12
ur82462880,mahmus,2017-11
ur83822756,CubsandCulture,2017-12
ur8406248,dcldan,2005-12
ur8453915,The_Sandheaver,2005-12
ur84924605,imseeg,2018-01
ur8503729,namashi_1,2005-12
ur85371862,invisibleunicornninja,2018-02
ur8546957,Alanjackd,2005-12
ur8564485,galileo3,2005-12
ur86182727,andrewburgereviews,2018-03
ur8625456,jzappa,2005-12
ur8635707,fossilwwjd,2006-01
ur86668239,sherryiq,2018-03
ur8708196,jldmp1,2006-01
ur87460992,ongoam,2018-04
ur87640589,EmmeCHammer,2018-04
ur87850731,0U,2018-04
ur87872268,ms-42106,2018-04
ur88402121,joeflemming,2018-05
ur89494061,perica-43151,2018-06
ur90868255,educallejero,2018-08
ur9208929,mullahk3,2006-02
ur92260614,umunir-36959,2018-09
ur9365949,Bloker-1,2006-02
ur94525275,henriquelrf,2018-10
ur9468953,mynameisneo,2006-02
ur95396995,harrybhangu,2018-11
ur9642968,aaronyovanovits,2006-03
ur97564245,nripeshdhungana-43780,2019-01
ur98033888,saadanathan,2019-01
ur98571307,efd-10467,2019-02
ur9871443,luva1s,2006-03
ur99125010,Tolispro,2019-02
ur99175190,cipheronvine,2019-02
ur99251676,alexanderhuggard,2019-02
ur99489588,kshihab-82620,2019-02
ur9972457,bobsgrock,2006-03
ur99795023,Godz365,2019-02
ur9987799,mjneu59,2006-03
ur99934194,lutu-10364,2019-03
ur99974464,aurora-41206,2019-03
ur99989877,morino-59166,2019-03
ur99999734,khizernawaz,2019-03
